cell,x_cm,g1,g2
100,  7.32451909E+00,  1.27468121E+00,  1.54052507E-01
101,  7.39629067E+00,  1.26622763E+00,  1.57025036E-01
102,  7.46806225E+00,  1.26011858E+00,  1.62284794E-01
103,  7.54365147E+00,  1.25290982E+00,  1.67529697E-01
104,  7.62305833E+00,  1.24791529E+00,  1.71622826E-01
105,  7.70246519E+00,  1.26309298E+00,  1.66269513E-01
106,  7.78187204E+00,  1.25939589E+00,  1.63507748E-01
107,  7.85746126E+00,  1.25240659E+00,  1.59120640E-01
108,  7.92923284E+00,  1.25803590E+00,  1.54557693E-01
109,  8.00100443E+00,  1.26258442E+00,  1.52045804E-01
110,  8.07277601E+00,  1.27016759E+00,  1.50746054E-01
111,  8.14454759E+00,  1.26622038E+00,  1.49189028E-01
112,  8.21631918E+00,  1.28058069E+00,  1.47547520E-01
113,  8.28809076E+00,  1.27368189E+00,  1.50277751E-01
114,  8.35986234E+00,  1.26877643E+00,  1.51620771E-01
115,  8.43163393E+00,  1.26527769E+00,  1.55784716E-01
116,  8.50340551E+00,  1.26082790E+00,  1.55955118E-01
117,  8.57517709E+00,  1.27289044E+00,  1.59675291E-01
118,  8.64694868E+00,  1.27125512E+00,  1.58958498E-01
119,  8.71872026E+00,  1.26612798E+00,  1.66815018E-01
120,  8.79430948E+00,  1.26687313E+00,  1.72534504E-01
121,  8.87371634E+00,  1.26081395E+00,  1.78279743E-01
122,  8.95312319E+00,  1.26052921E+00,  1.78539769E-01
123,  9.03253005E+00,  1.27027815E+00,  1.72835422E-01
124,  9.10811927E+00,  1.27738605E+00,  1.61187537E-01
125,  9.17989085E+00,  1.27920898E+00,  1.58927655E-01
126,  9.25166244E+00,  1.27650550E+00,  1.55889821E-01
127,  9.32343402E+00,  1.27671376E+00,  1.54654960E-01
128,  9.39520560E+00,  1.27760730E+00,  1.55730142E-01
129,  9.46697718E+00,  1.28434524E+00,  1.54092309E-01
130,  9.53874877E+00,  1.27998778E+00,  1.53262002E-01
131,  9.61052035E+00,  1.29510007E+00,  1.51456749E-01
132,  9.68229193E+00,  1.28520002E+00,  1.53644522E-01
133,  9.75406352E+00,  1.27964954E+00,  1.58842121E-01
134,  9.82583510E+00,  1.28365327E+00,  1.62306923E-01
135,  9.89760668E+00,  1.27486175E+00,  1.62854568E-01
136,  9.96937827E+00,  1.26236344E+00,  1.64233690E-01
137,  1.00449675E+01,  1.25470927E+00,  1.73437651E-01
138,  1.01243743E+01,  1.24672259E+00,  1.73564955E-01
139,  1.02037812E+01,  1.25298073E+00,  1.75964918E-01
140,  1.02831881E+01,  1.25152031E+00,  1.69551937E-01
141,  1.03587773E+01,  1.25502014E+00,  1.63269632E-01
142,  1.04305489E+01,  1.26887336E+00,  1.60749246E-01
143,  1.05023204E+01,  1.27856767E+00,  1.56853645E-01
144,  1.05740920E+01,  1.27811112E+00,  1.51687761E-01
145,  1.06458636E+01,  1.27459261E+00,  1.52617549E-01
146,  1.07176352E+01,  1.28180956E+00,  1.54424202E-01
147,  1.07894068E+01,  1.27719642E+00,  1.51834722E-01
148,  1.08611784E+01,  1.27550671E+00,  1.50518668E-01
149,  1.09329499E+01,  1.27193603E+00,  1.48586055E-01
150,  1.10047215E+01,  1.26516512E+00,  1.52407637E-01
151,  1.10764931E+01,  1.25506359E+00,  1.55971181E-01
152,  1.11482647E+01,  1.26573437E+00,  1.55341217E-01
153,  1.12200363E+01,  1.25825560E+00,  1.60264308E-01
154,  1.12956255E+01,  1.26007578E+00,  1.63667263E-01
155,  1.13750324E+01,  1.26113375E+00,  1.65485094E-01
156,  1.14544392E+01,  1.26278591E+00,  1.65513307E-01
157,  1.15338461E+01,  1.27429234E+00,  1.63826857E-01
158,  1.16094353E+01,  1.28154440E+00,  1.57158025E-01
159,  1.16812069E+01,  1.27491774E+00,  1.53442837E-01
160,  1.17529784E+01,  1.26753872E+00,  1.54707683E-01
161,  1.18247500E+01,  1.26755681E+00,  1.55240323E-01
162,  1.18965216E+01,  1.26902755E+00,  1.58570749E-01
163,  1.19682932E+01,  1.27476255E+00,  1.55203557E-01
164,  1.20400648E+01,  1.27330430E+00,  1.55141794E-01
165,  1.21118364E+01,  1.27015594E+00,  1.54492663E-01
166,  1.21836079E+01,  1.26905916E+00,  1.57211457E-01
167,  1.22553795E+01,  1.26108370E+00,  1.59448357E-01
168,  1.23271511E+01,  1.26264111E+00,  1.61033755E-01
169,  1.23989227E+01,  1.26458628E+00,  1.61290446E-01
170,  1.24706943E+01,  1.25398123E+00,  1.66033739E-01
171,  1.25462835E+01,  1.24211297E+00,  1.71729407E-01
172,  1.26256904E+01,  1.25013398E+00,  1.74437467E-01
173,  1.27050972E+01,  1.24775238E+00,  1.76844259E-01
174,  1.27845041E+01,  1.25734377E+00,  1.71953294E-01
175,  1.28600933E+01,  1.26612854E+00,  1.65386676E-01
176,  1.29318649E+01,  1.26875297E+00,  1.59625101E-01
177,  1.30036365E+01,  1.27029377E+00,  1.56069967E-01
178,  1.30754080E+01,  1.26784807E+00,  1.57386547E-01
179,  1.31471796E+01,  1.27675536E+00,  1.53037224E-01
180,  1.32189512E+01,  1.27472489E+00,  1.52768060E-01
181,  1.32907228E+01,  1.27468627E+00,  1.51256234E-01
182,  1.33624944E+01,  1.27525025E+00,  1.56627699E-01
183,  1.34342660E+01,  1.27796515E+00,  1.55008632E-01
184,  1.35060375E+01,  1.27552891E+00,  1.54951353E-01
185,  1.35778091E+01,  1.28183251E+00,  1.59199645E-01
186,  1.36495807E+01,  1.26992904E+00,  1.63856553E-01
187,  1.37213523E+01,  1.26844384E+00,  1.65087710E-01
188,  1.37969415E+01,  1.27057642E+00,  1.72378223E-01
189,  1.38763484E+01,  1.26362584E+00,  1.73820549E-01
