cell,x_cm,g1,g2
436,  3.20505929E+01,  1.21212787E+00,  1.45933548E-01
437,  3.21223645E+01,  1.20867938E+00,  1.45246017E-01
438,  3.21941361E+01,  1.20537210E+00,  1.45560713E-01
439,  3.22659076E+01,  1.20694698E+00,  1.46972897E-01
440,  3.23376792E+01,  1.20014262E+00,  1.47434244E-01
441,  3.24094508E+01,  1.20268240E+00,  1.50646263E-01
442,  3.24812224E+01,  1.19078453E+00,  1.54847830E-01
443,  3.25568116E+01,  1.18521039E+00,  1.55140050E-01
444,  3.26362185E+01,  1.19119888E+00,  1.60895607E-01
445,  3.27156253E+01,  1.18650864E+00,  1.56477337E-01
446,  3.27950322E+01,  1.19304189E+00,  1.57832163E-01
447,  3.28706214E+01,  1.18951355E+00,  1.51339777E-01
448,  3.29423930E+01,  1.18869523E+00,  1.51454459E-01
449,  3.30141646E+01,  1.18964625E+00,  1.47960440E-01
450,  3.30859362E+01,  1.19660778E+00,  1.46784422E-01
451,  3.31577077E+01,  1.19111536E+00,  1.42217180E-01
452,  3.32294793E+01,  1.19076191E+00,  1.40162471E-01
453,  3.33012509E+01,  1.19427648E+00,  1.39921236E-01
454,  3.33730225E+01,  1.19935575E+00,  1.40832094E-01
455,  3.34447941E+01,  1.20531967E+00,  1.39249559E-01
456,  3.35165657E+01,  1.19475570E+00,  1.41240190E-01
457,  3.35883372E+01,  1.19475637E+00,  1.43064783E-01
458,  3.36601088E+01,  1.19220203E+00,  1.45769111E-01
459,  3.37318804E+01,  1.18901991E+00,  1.49996984E-01
460,  3.38074696E+01,  1.19164348E+00,  1.52436433E-01
461,  3.38868765E+01,  1.19330453E+00,  1.55702928E-01
462,  3.39662833E+01,  1.18194491E+00,  1.53576289E-01
463,  3.40456902E+01,  1.18295443E+00,  1.52535543E-01
464,  3.41212794E+01,  1.19486065E+00,  1.49598273E-01
465,  3.41930510E+01,  1.19507886E+00,  1.45012598E-01
466,  3.42648226E+01,  1.20411309E+00,  1.43713401E-01
467,  3.43365942E+01,  1.20596658E+00,  1.42911301E-01
468,  3.44083657E+01,  1.20969893E+00,  1.42151154E-01
469,  3.44801373E+01,  1.20868859E+00,  1.41966906E-01
470,  3.45519089E+01,  1.20909984E+00,  1.41885559E-01
471,  3.46236805E+01,  1.20509249E+00,  1.45388276E-01
472,  3.46954521E+01,  1.20490002E+00,  1.41127495E-01
473,  3.47672237E+01,  1.20243579E+00,  1.45009736E-01
474,  3.48389952E+01,  1.20343242E+00,  1.46292137E-01
475,  3.49107668E+01,  1.19665702E+00,  1.51178568E-01
476,  3.49825384E+01,  1.19329595E+00,  1.51909984E-01
477,  3.50581276E+01,  1.18365119E+00,  1.55468083E-01
478,  3.51375345E+01,  1.18402353E+00,  1.62124497E-01
479,  3.52169413E+01,  1.17895854E+00,  1.61624794E-01
480,  3.52963482E+01,  1.18182724E+00,  1.57099923E-01
481,  3.53719374E+01,  1.19246499E+00,  1.51929049E-01
482,  3.54437090E+01,  1.19919777E+00,  1.49107910E-01
483,  3.55154806E+01,  1.19047718E+00,  1.49974556E-01
484,  3.55872522E+01,  1.19821337E+00,  1.49866453E-01
485,  3.56590238E+01,  1.21095141E+00,  1.45325208E-01
486,  3.57307953E+01,  1.20036130E+00,  1.41501343E-01
487,  3.58025669E+01,  1.19748638E+00,  1.44605361E-01
488,  3.58743385E+01,  1.18831484E+00,  1.44323893E-01
489,  3.59461101E+01,  1.18889286E+00,  1.42888875E-01
490,  3.60178817E+01,  1.18901552E+00,  1.43826903E-01
491,  3.60896533E+01,  1.18595790E+00,  1.45457502E-01
492,  3.61614248E+01,  1.18306675E+00,  1.50560174E-01
493,  3.62331964E+01,  1.18121262E+00,  1.51217062E-01
494,  3.63087856E+01,  1.17343151E+00,  1.56589990E-01
495,  3.63881925E+01,  1.18058899E+00,  1.60872643E-01
496,  3.64675994E+01,  1.17720586E+00,  1.57867723E-01
497,  3.65470062E+01,  1.18118206E+00,  1.56555665E-01
498,  3.66225954E+01,  1.18594840E+00,  1.51019303E-01
499,  3.66943670E+01,  1.18683746E+00,  1.47386859E-01
500,  3.67661386E+01,  1.19343089E+00,  1.44929612E-01
501,  3.68379102E+01,  1.18749419E+00,  1.47825292E-01
502,  3.69096818E+01,  1.18896102E+00,  1.48283886E-01
503,  3.69814533E+01,  1.18939785E+00,  1.50352856E-01
504,  3.70532249E+01,  1.19278226E+00,  1.45933761E-01
505,  3.71249965E+01,  1.19525534E+00,  1.45346895E-01
506,  3.71967681E+01,  1.19795349E+00,  1.42814504E-01
507,  3.72685397E+01,  1.18735284E+00,  1.42327510E-01
508,  3.73403113E+01,  1.19780697E+00,  1.44425335E-01
509,  3.74120828E+01,  1.18532796E+00,  1.48111516E-01
510,  3.74838544E+01,  1.17788539E+00,  1.53156264E-01
511,  3.75594436E+01,  1.17474930E+00,  1.62765946E-01
512,  3.76388505E+01,  1.17410099E+00,  1.63238496E-01
513,  3.77182574E+01,  1.16803254E+00,  1.61991576E-01
514,  3.77976642E+01,  1.16763192E+00,  1.58505412E-01
515,  3.78732534E+01,  1.18198018E+00,  1.54093588E-01
516,  3.79450250E+01,  1.18476712E+00,  1.52003510E-01
517,  3.80167966E+01,  1.18548380E+00,  1.47916557E-01
518,  3.80885682E+01,  1.18841817E+00,  1.45668521E-01
519,  3.81603398E+01,  1.18494662E+00,  1.48957187E-01
520,  3.82321114E+01,  1.18594851E+00,  1.48057051E-01
521,  3.83038829E+01,  1.18509368E+00,  1.45459143E-01
522,  3.83756545E+01,  1.18418469E+00,  1.45687746E-01
523,  3.84474261E+01,  1.19186017E+00,  1.44221197E-01
524,  3.85191977E+01,  1.18396785E+00,  1.45433245E-01
525,  3.85909693E+01,  1.19024015E+00,  1.49112921E-01
526,  3.86627409E+01,  1.19077650E+00,  1.48864976E-01
527,  3.87345124E+01,  1.19377645E+00,  1.50940873E-01
528,  3.88101017E+01,  1.18600621E+00,  1.58993394E-01
529,  3.88895085E+01,  1.18586620E+00,  1.62100319E-01
530,  3.89689154E+01,  1.18648510E+00,  1.62131944E-01
531,  3.90483222E+01,  1.19138381E+00,  1.60825896E-01
532,  3.91239114E+01,  1.20236309E+00,  1.53376579E-01
533,  3.91956830E+01,  1.21442429E+00,  1.49615230E-01
534,  3.92674546E+01,  1.21001254E+00,  1.45998367E-01
535,  3.93392262E+01,  1.20534897E+00,  1.42762083E-01
536,  3.94109978E+01,  1.21159353E+00,  1.42563923E-01
537,  3.94827694E+01,  1.20974336E+00,  1.41868482E-01
538,  3.95545409E+01,  1.20618914E+00,  1.43150987E-01
539,  3.96263125E+01,  1.20434994E+00,  1.45435418E-01
540,  3.96980841E+01,  1.20957446E+00,  1.48543363E-01
541,  3.97698557E+01,  1.19323504E+00,  1.50813103E-01
542,  3.98416273E+01,  1.19904767E+00,  1.50926978E-01
543,  3.99133989E+01,  1.19159434E+00,  1.51468972E-01
544,  3.99851704E+01,  1.19561635E+00,  1.56287695E-01
545,  4.00607597E+01,  1.19363129E+00,  1.63676168E-01
546,  4.01401665E+01,  1.18350962E+00,  1.66694628E-01
547,  4.02195734E+01,  1.18074721E+00,  1.66216183E-01
548,  4.02989802E+01,  1.19395170E+00,  1.63126288E-01
549,  4.03745695E+01,  1.19043730E+00,  1.56485661E-01
550,  4.04463410E+01,  1.19476782E+00,  1.55567134E-01
551,  4.05181126E+01,  1.19887329E+00,  1.55012513E-01
552,  4.05898842E+01,  1.20562578E+00,  1.52083241E-01
553,  4.06616558E+01,  1.20150540E+00,  1.51453391E-01
554,  4.07334274E+01,  1.19598247E+00,  1.51690648E-01
555,  4.08051990E+01,  1.19018441E+00,  1.51470543E-01
556,  4.08769705E+01,  1.18536104E+00,  1.53785502E-01
557,  4.09487421E+01,  1.18911522E+00,  1.53724539E-01
558,  4.10205137E+01,  1.18668553E+00,  1.55401126E-01
559,  4.10922853E+01,  1.19547135E+00,  1.56505817E-01
560,  4.11640569E+01,  1.19432362E+00,  1.57465046E-01
561,  4.12358285E+01,  1.18829064E+00,  1.62161566E-01
562,  4.13114177E+01,  1.17640527E+00,  1.65887970E-01
563,  4.13908245E+01,  1.17887165E+00,  1.69957333E-01
564,  4.14702314E+01,  1.17851232E+00,  1.70559355E-01
565,  4.15496382E+01,  1.18135596E+00,  1.64804127E-01
566,  4.16252275E+01,  1.19092759E+00,  1.58220913E-01
567,  4.16969990E+01,  1.18875938E+00,  1.59253600E-01
568,  4.17687706E+01,  1.18768085E+00,  1.58459504E-01
569,  4.18405422E+01,  1.19255329E+00,  1.57021984E-01
570,  4.19123138E+01,  1.20104205E+00,  1.57592547E-01
571,  4.19840854E+01,  1.19611801E+00,  1.55410769E-01
572,  4.20558570E+01,  1.19310270E+00,  1.56451691E-01
573,  4.21276285E+01,  1.20074089E+00,  1.56091323E-01
574,  4.21994001E+01,  1.18931615E+00,  1.56788622E-01
575,  4.22711717E+01,  1.18834995E+00,  1.59539857E-01
576,  4.23429433E+01,  1.19026131E+00,  1.62623828E-01
577,  4.24147149E+01,  1.18640774E+00,  1.67339541E-01
578,  4.24864865E+01,  1.18288742E+00,  1.75791338E-01
579,  4.25620757E+01,  1.17803089E+00,  1.83394935E-01
580,  4.26414825E+01,  1.17558191E+00,  1.90718930E-01
581,  4.27208894E+01,  1.16379286E+00,  1.89372522E-01
582,  4.28002962E+01,  1.16511627E+00,  1.97005298E-01
