cell,x_cm,dx,sigtr_g1,sigtr_g2,sigcap_g1,sigcap_g2,sigf_g1,sigf_g2,sigs12,nu_g1,nu_g2
53,5.98695648,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
54,6.07565213,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
55,6.16434778,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
56,6.28630430,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
57,6.44152169,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
58,6.59673908,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
59,6.75195647,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
60,6.87391299,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
61,6.96260864,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
62,7.05130429,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
63,7.13999995,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
64,7.22869560,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
65,7.31739125,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
66,7.40608690,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
67,7.52804342,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
68,7.68326081,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
69,7.83847820,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
70,7.99369559,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
71,8.11565211,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
72,8.20434776,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
73,8.29304342,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
74,8.38173907,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
75,8.47043472,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
76,8.55913037,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
77,8.64782602,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
78,8.76978254,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
79,8.92499993,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
80,9.08021732,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
81,9.23543471,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
82,9.35739123,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
83,9.44608689,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
84,9.53478254,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
85,9.62347819,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
86,9.71217384,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
87,9.80086949,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
88,9.88956514,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
89,10.01152166,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
90,10.16673905,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
91,10.32195644,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
92,10.47717383,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
93,10.59913035,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
94,10.68782601,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
95,10.77652166,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
96,10.86521731,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
97,10.95391296,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
98,11.04260861,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
99,11.13130426,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
100,11.25326078,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
101,11.40847817,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
102,11.56369556,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
103,11.71891295,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
104,11.84086948,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
105,11.92956513,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
106,12.01826078,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
107,12.10695643,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
108,12.19565208,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
109,12.28434773,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
110,12.37304338,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
111,12.49499991,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
112,12.65021730,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
113,12.80543469,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
114,12.96065208,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
115,13.08260860,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
116,13.17130425,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
117,13.25999990,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
118,13.34869555,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
119,13.43739120,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
120,13.52608685,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
121,13.61478251,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
122,13.73673903,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
123,13.89195642,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
124,14.04717381,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
125,14.20239120,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
126,14.32434772,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
127,14.41304337,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
128,14.50173902,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
129,14.59043467,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
130,14.67913032,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
131,14.76782598,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
