cell,x_left_cm,x_right_cm,dx_cm,flux_g1,flux_g2,flux_g3,flux_g4,flux_g5,flux_g6,flux_g7,sigTR_g1,sigTR_g2,sigTR_g3,sigTR_g4,sigTR_g5,sigTR_g6,sigTR_g7,Rrem_g1,Rrem_g2,Rrem_g3,Rrem_g4,Rrem_g5,Rrem_g6,Rrem_g7
1,0.0000000000000000,0.10587580858114758,0.10587580858114758,0.17706777422009481,0.48529179479816542,0.20984542902399861,0.68127319210909754E-1,0.47223055460363879E-1,0.42830238161766489E-1,0.42707478130011793E-1,0.15920599999999999,0.41297000000000000,0.59031000000000000,0.58435000000000004,0.71799999999999997,1.2544500000000001,2.6503800000000002,0.11472832308400001,0.13063568909999995,0.24505389999999996,0.49332160000000003,0.57886203700000005,0.55453670000000010,0.16967900000000000
2,0.10587580858114758,0.21175161716229515,0.10587580858114758,0.17717653801188665,0.48589342790451451,0.20961215906995950,0.67855872300701253E-1,0.47110757918561633E-1,0.42367554726986702E-1,0.40961770838536506E-1,0.15920599999999999,0.41297000000000000,0.59031000000000000,0.58435000000000004,0.71799999999999997,1.2544500000000001,2.6503800000000002,0.11472832308400001,0.13063568909999995,0.24505389999999996,0.49332160000000003,0.57886203700000005,0.55453670000000010,0.16967900000000000
3,0.21175161716229515,0.31762742574344272,0.10587580858114758,0.17739413240357504,0.48709761437008381,0.20914293120389790,0.67311368989884504E-1,0.46887435839000402E-1,0.41444294107088844E-1,0.37467025887917185E-1,0.15920599999999999,0.41297000000000000,0.59031000000000000,0.58435000000000004,0.71799999999999997,1.2544500000000001,2.6503800000000002,0.11472832308400001,0.13063568909999995,0.24505389999999996,0.49332160000000003,0.57886203700000005,0.55453670000000010,0.16967900000000000
4,0.31762742574344272,0.42129749036674413,0.10367006462330143,0.17773611147791923,0.48870904228905743,0.20850453610745437,0.66519754834621747E-1,0.46651016944603024E-1,0.40541738063196928E-1,0.34294308138860266E-1,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.50412242916299997E-1,0.53488031427000003E-2,0.29448200000000001E-1,0.10180240000000000,0.40400260021000001E-1,0.12936580000000000,0.29132579999999997
5,0.42129749036674413,0.52496755499004555,0.10367006462330143,0.17803222940762531,0.48992475475542024,0.20802087819436355,0.65868262939141095E-1,0.46524642197517091E-1,0.40173202973456681E-1,0.33368884771182543E-1,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.50412242916299997E-1,0.53488031427000003E-2,0.29448200000000001E-1,0.10180240000000000,0.40400260021000001E-1,0.12936580000000000,0.29132579999999997
6,0.52496755499004555,0.62863761961334697,0.10367006462330143,0.17826886737856401,0.49094406889799475,0.20761952672588438,0.65326562975937100E-1,0.46412954735337658E-1,0.39861174389962804E-1,0.32608080465203061E-1,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.50412242916299997E-1,0.53488031427000003E-2,0.29448200000000001E-1,0.10180240000000000,0.40400260021000001E-1,0.12936580000000000,0.29132579999999997
7,0.62863761961334697,0.73230768423664838,0.10367006462330143,0.17844751204292358,0.49176877699359228,0.20730027505970414,0.64893688717810163E-1,0.46315943570083062E-1,0.39605235407890925E-1,0.32007957245094767E-1,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.50412242916299997E-1,0.53488031427000003E-2,0.29448200000000001E-1,0.10180240000000000,0.40400260021000001E-1,0.12936580000000000,0.29132579999999997
8,0.73230768423664838,0.83597774885994980,0.10367006462330143,0.17856934177640943,0.49240030799146589,0.20706295847190898,0.64568867996365603E-1,0.46233596854892846E-1,0.39405042166088637E-1,0.31565411831776725E-1,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.50412242916299997E-1,0.53488031427000003E-2,0.29448200000000001E-1,0.10180240000000000,0.40400260021000001E-1,0.12936580000000000,0.29132579999999997
9,0.83597774885994980,0.93964781348325122,0.10367006462330143,0.17863523195678149,0.49283973347310439,0.20690745405326580,0.64351521304867418E-1,0.46165901926900205E-1,0.39260323619636939E-1,0.31278159296048887E-1,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.50412242916299997E-1,0.53488031427000003E-2,0.29448200000000001E-1,0.10180240000000000,0.40400260021000001E-1,0.12936580000000000,0.29132579999999997
10,0.93964781348325122,1.0433178781065526,0.10367006462330143,0.17864575886449599,0.49308777205338644,0.20683368063163959,0.64241260749665574E-1,0.46112845338044023E-1,0.39170881343462381E-1,0.31144721027938260E-1,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.50412242916299997E-1,0.53488031427000003E-2,0.29448200000000001E-1,0.10180240000000000,0.40400260021000001E-1,0.12936580000000000,0.29132579999999997
