case_id,case_name,mpfr,mpwr,matid_length,total_cells,model_length_cm,k_eff_7g,k_eff_2g_direct,matid_string
01_mox,MOX 2-1-2-1,9,3,69,411,42.83999967575073,1.0492206704,1.0448923918894366,2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
02_uo2,UO2 2-0-2-0,9,3,69,411,42.83999967575073,1.1714601124,1.1706481050679,2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2
03_half,Half MOX left / Half UO2 right,9,3,69,411,42.83999967575073,1.115918414,1.1108747805408854,2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2
