cell,x_left_cm,x_right_cm,dx_cm,flux_g1,flux_g2,flux_g3,flux_g4,flux_g5,flux_g6,flux_g7,sigTR_g1,sigTR_g2,sigTR_g3,sigTR_g4,sigTR_g5,sigTR_g6,sigTR_g7,Rrem_g1,Rrem_g2,Rrem_g3,Rrem_g4,Rrem_g5,Rrem_g6,Rrem_g7
1,0.0000000000000000,0.10666666428248088,0.10666666428248088,0.31273904181668200E+20,0.83460576077043433E+20,0.33621379465984057E+20,0.99116842275249275E+19,0.46392609254694185E+19,0.23114467546657162E+19,0.17112859639830971E+19,0.15920599999999999,0.41297000000000000,0.59031000000000000,0.58435000000000004,0.71799999999999997,1.2544500000000001,2.6503800000000002,0.11472832308400001,0.13063568909999995,0.24505389999999996,0.49332160000000003,0.57886203700000005,0.55453670000000010,0.16967900000000000
2,0.10666666428248088,0.21333332856496176,0.10666666428248088,0.31293402217335890E+20,0.83564289161401942E+20,0.33568488340619022E+20,0.98576160758033060E+19,0.45899497141747476E+19,0.22241207157537155E+19,0.15871233116669135E+19,0.15920599999999999,0.41297000000000000,0.59031000000000000,0.58435000000000004,0.71799999999999997,1.2544500000000001,2.6503800000000002,0.11472832308400001,0.13063568909999995,0.24505389999999996,0.49332160000000003,0.57886203700000005,0.55453670000000010,0.16967900000000000
3,0.21333332856496176,0.31999999284744263,0.10666666428248088,0.31332410444921160E+20,0.83771875154709266E+20,0.33462173193732493E+20,0.97491833733455626E+19,0.44912047898874368E+19,0.20493326769900695E+19,0.13414703967269727E+19,0.15920599999999999,0.41297000000000000,0.59031000000000000,0.58435000000000004,0.71799999999999997,1.2544500000000001,2.6503800000000002,0.11472832308400001,0.13063568909999995,0.24505389999999996,0.49332160000000003,0.57886203700000005,0.55453670000000010,0.16967900000000000
4,0.31999999284744263,0.42444443702697754,0.10444444417953491,0.31394635054213411E+20,0.84052217265059201E+20,0.33315017181515756E+20,0.95845072252125082E+19,0.43661126357762652E+19,0.18236937819629053E+19,0.10967640148974861E+19,0.18304500000000001,0.33670499999999998,0.50050700000000004,0.60617399999999999,0.50275400000000003,0.92102799999999996,0.95523100000000005,0.51540902393799999E-1,0.63019026006000001E-2,0.38714900000000003E-1,0.13815300000000000,0.21698327892800001,0.67341359999999995,0.69913809999999998
5,0.42444443702697754,0.52888888120651245,0.10444444417953491,0.31446374504014344E+20,0.84261678649229951E+20,0.33200331416726725E+20,0.94431618124402913E+19,0.42790094728948716E+19,0.16705684865677642E+19,0.99236920496148851E+18,0.18304500000000001,0.33670499999999998,0.50050700000000004,0.60617399999999999,0.50275400000000003,0.92102799999999996,0.95523100000000005,0.51540902393799999E-1,0.63019026006000001E-2,0.38714900000000003E-1,0.13815300000000000,0.21698327892800001,0.67341359999999995,0.69913809999999998
6,0.52888888120651245,0.63333332538604736,0.10444444417953491,0.31485069499237806E+20,0.84433112263218151E+20,0.33104387266325991E+20,0.93260512758437130E+19,0.42062730141724242E+19,0.15500010569014362E+19,0.90901995730924045E+18,0.18304500000000001,0.33670499999999998,0.50050700000000004,0.60617399999999999,0.50275400000000003,0.92102799999999996,0.95523100000000005,0.51540902393799999E-1,0.63019026006000001E-2,0.38714900000000003E-1,0.13815300000000000,0.21698327892800001,0.67341359999999995,0.69913809999999998
7,0.63333332538604736,0.73777776956558228,0.10444444417953491,0.31511612047840215E+20,0.84567645892375265E+20,0.33027120649934868E+20,0.92328596371480678E+19,0.41476587941653806E+19,0.14595851758555141E+19,0.84494104890220928E+18,0.18304500000000001,0.33670499999999998,0.50050700000000004,0.60617399999999999,0.50275400000000003,0.92102799999999996,0.95523100000000005,0.51540902393799999E-1,0.63019026006000001E-2,0.38714900000000003E-1,0.13815300000000000,0.21698327892800001,0.67341359999999995,0.69913809999999998
8,0.73777776956558228,0.84222221374511719,0.10444444417953491,0.31526680723383697E+20,0.84666140249640731E+20,0.32968479996999016E+20,0.91633355018902364E+19,0.41029694411903713E+19,0.13975177534316677E+19,0.79876681155674086E+18,0.18304500000000001,0.33670499999999998,0.50050700000000004,0.60617399999999999,0.50275400000000003,0.92102799999999996,0.95523100000000005,0.51540902393799999E-1,0.63019026006000001E-2,0.38714900000000003E-1,0.13815300000000000,0.21698327892800001,0.67341359999999995,0.69913809999999998
9,0.84222221374511719,0.94666665792465210,0.10444444417953491,0.31530753667406361E+20,0.84729205202361516E+20,0.32928426210960368E+20,0.91172913737080494E+19,0.40720540660784727E+19,0.13625627470912241E+19,0.76951197872686797E+18,0.18304500000000001,0.33670499999999998,0.50050700000000004,0.60617399999999999,0.50275400000000003,0.92102799999999996,0.95523100000000005,0.51540902393799999E-1,0.63019026006000001E-2,0.38714900000000003E-1,0.13815300000000000,0.21698327892800001,0.67341359999999995,0.69913809999999998
10,0.94666665792465210,1.0511111021041870,0.10444444417953491,0.31524117727806034E+20,0.84757211176184922E+20,0.32906932642134495E+20,0.90946031429642404E+19,0.40548077888622643E+19,0.13540263773216148E+19,0.75655062784992691E+18,0.18304500000000001,0.33670499999999998,0.50050700000000004,0.60617399999999999,0.50275400000000003,0.92102799999999996,0.95523100000000005,0.51540902393799999E-1,0.63019026006000001E-2,0.38714900000000003E-1,0.13815300000000000,0.21698327892800001,0.67341359999999995,0.69913809999999998
