source,xs_case_index_0based,xs_fortran_case_index,material_id,material_name,energy_group,sigTR,sigIS,sigDS,sigA,sigF,nuT,chiT
xs_library,0,1,0,UO2,1,.20000000,.18500000,.01500000,.00000000,.00000000,.00000000,1.00000000
xs_library,0,1,0,UO2,2,1.00000000,.80000001,.00000000,.20000000,.18000001,1.39999998,.00000000
xs_library,0,1,1,MOX,1,.20000000,.18500000,.01500000,.00000000,.00000000,.00000000,1.00000000
xs_library,0,1,1,MOX,2,1.20000005,.80000001,.00000000,.40000001,.30000001,1.50000000,.00000000
xs_library,0,1,2,H2O,1,.20000000,.17000000,.03000000,.00000000,.00000000,.00000000,.00000000
xs_library,0,1,2,H2O,2,1.10000002,1.10000002,.00000000,.00000000,.00000000,.00000000,.00000000
xs_library,0,1,3,CR,1,.10000000,.00000000,.00000000,.10000000,.00000000,.00000000,.00000000
xs_library,0,1,3,CR,2,1.10000002,.10000000,.00000000,1.00000000,.00000000,.00000000,.00000000
