cell,x_left_cm,x_right_cm,dx_cm,flux_g1,flux_g2,flux_g3,flux_g4,flux_g5,flux_g6,flux_g7,sigTR_g1,sigTR_g2,sigTR_g3,sigTR_g4,sigTR_g5,sigTR_g6,sigTR_g7,sigA_g1,sigA_g2,sigA_g3,sigA_g4,sigA_g5,sigA_g6,sigA_g7,sigF_g1,sigF_g2,sigF_g3,sigF_g4,sigF_g5,sigF_g6,sigF_g7,nu_g1,nu_g2,nu_g3,nu_g4,nu_g5,nu_g6,nu_g7,sigS_tot_g1,sigS_tot_g2,sigS_tot_g3,sigS_tot_g4,sigS_tot_g5,sigS_tot_g6,sigS_tot_g7
1,0.0000000000000000,0.15881371287172136,0.15881371287172136,0.19402577335843635,0.64115796891956844,0.25774032657685036,0.79151701708373726E-1,0.76105161692688147E-1,0.54392877970966091E-1,0.40325532590462010E-1,0.15920599999999999,0.41297000000000000,0.59031000000000000,0.58435000000000004,0.71799999999999997,1.2544500000000001,2.6503800000000002,0.60105000000000000E-3,0.15792999999999999E-4,0.33715999999999998E-3,0.19406000000000000E-2,0.57416000000000003E-2,0.15001000000000000E-1,0.37239000000000001E-1,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.15860497308400001,0.41295389610000000,0.58997274000000000,0.58240939999999997,0.71225843700000002,1.2394487000000001,2.6131400000000000
2,0.15881371287172136,0.31762742574344272,0.15881371287172136,0.19870788367382647,0.64976724597704882,0.25566794910638035,0.77479321611141697E-1,0.75229650640980944E-1,0.50673513669271759E-1,0.32595003191055266E-1,0.15920599999999999,0.41297000000000000,0.59031000000000000,0.58435000000000004,0.71799999999999997,1.2544500000000001,2.6503800000000002,0.60105000000000000E-3,0.15792999999999999E-4,0.33715999999999998E-3,0.19406000000000000E-2,0.57416000000000003E-2,0.15001000000000000E-1,0.37239000000000001E-1,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.15860497308400001,0.41295389610000000,0.58997274000000000,0.58240939999999997,0.71225843700000002,1.2394487000000001,2.6131400000000000
3,0.31762742574344272,0.45091750883054454,0.13329008308710183,0.20891436092313367,0.66697491458039382,0.24905090551755854,0.72419110623413885E-1,0.71478916255610925E-1,0.45321255169201373E-1,0.21763689219046544E-1,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.80248000000000003E-2,0.37174000000000000E-2,0.26769000000000001E-1,0.96236000000000002E-1,0.30020000000000002E-1,0.11126000000000000,0.28277999999999998,0.72120600000000002E-2,0.81930100000000004E-3,0.64532000000000001E-2,0.18564799999999999E-1,0.17808399999999999E-1,0.83034800000000006E-1,0.21600400000000000,2.7814383130478668,2.4744263707721581,2.4338312775057336,2.4337994484185126,2.4338009029446779,2.4337988409678832,2.4337975222681063,0.16992444291630002,0.32608740314270002,0.45361920000000000,0.45813140000000002,0.28178126002100001,0.28390779999999999,0.28162579999999998
4,0.45091750883054454,0.58420759191764637,0.13329008308710183,0.21133902754197062,0.67180788467124786,0.24569143145964328,0.69996617470094294E-1,0.69311813564256738E-1,0.40428506828192795E-1,0.17353293340428406E-1,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.80248000000000003E-2,0.37174000000000000E-2,0.26769000000000001E-1,0.96236000000000002E-1,0.30020000000000002E-1,0.11126000000000000,0.28277999999999998,0.72120600000000002E-2,0.81930100000000004E-3,0.64532000000000001E-2,0.18564799999999999E-1,0.17808399999999999E-1,0.83034800000000006E-1,0.21600400000000000,2.7814383130478668,2.4744263707721581,2.4338312775057336,2.4337994484185126,2.4338009029446779,2.4337988409678832,2.4337975222681063,0.16992444291630002,0.32608740314270002,0.45361920000000000,0.45813140000000002,0.28178126002100001,0.28390779999999999,0.28162579999999998
5,0.58420759191764637,0.71749767500474815,0.13329008308710183,0.21226623455865304,0.67110809324554999,0.24276699780604705,0.68655566899303883E-1,0.67644988281091376E-1,0.38078050948161538E-1,0.14784318768725312E-1,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.80248000000000003E-2,0.37174000000000000E-2,0.26769000000000001E-1,0.96236000000000002E-1,0.30020000000000002E-1,0.11126000000000000,0.28277999999999998,0.72120600000000002E-2,0.81930100000000004E-3,0.64532000000000001E-2,0.18564799999999999E-1,0.17808399999999999E-1,0.83034800000000006E-1,0.21600400000000000,2.7814383130478668,2.4744263707721581,2.4338312775057336,2.4337994484185126,2.4338009029446779,2.4337988409678832,2.4337975222681063,0.16992444291630002,0.32608740314270002,0.45361920000000000,0.45813140000000002,0.28178126002100001,0.28390779999999999,0.28162579999999998
6,0.71749767500474815,0.85078775809184992,0.13329008308710183,0.21148487577161082,0.67126432938355018,0.24303517319408371,0.67783782053707511E-1,0.67280362999843552E-1,0.37121090119094334E-1,0.13183352020278155E-1,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.80248000000000003E-2,0.37174000000000000E-2,0.26769000000000001E-1,0.96236000000000002E-1,0.30020000000000002E-1,0.11126000000000000,0.28277999999999998,0.72120600000000002E-2,0.81930100000000004E-3,0.64532000000000001E-2,0.18564799999999999E-1,0.17808399999999999E-1,0.83034800000000006E-1,0.21600400000000000,2.7814383130478668,2.4744263707721581,2.4338312775057336,2.4337994484185126,2.4338009029446779,2.4337988409678832,2.4337975222681063,0.16992444291630002,0.32608740314270002,0.45361920000000000,0.45813140000000002,0.28178126002100001,0.28390779999999999,0.28162579999999998
7,0.85078775809184992,0.98407784117895170,0.13329008308710183,0.21020856584268061,0.67599402703343836,0.24212838085559588,0.67058901284689137E-1,0.68267772276792885E-1,0.36945133527873590E-1,0.13041352483937917E-1,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.80248000000000003E-2,0.37174000000000000E-2,0.26769000000000001E-1,0.96236000000000002E-1,0.30020000000000002E-1,0.11126000000000000,0.28277999999999998,0.72120600000000002E-2,0.81930100000000004E-3,0.64532000000000001E-2,0.18564799999999999E-1,0.17808399999999999E-1,0.83034800000000006E-1,0.21600400000000000,2.7814383130478668,2.4744263707721581,2.4338312775057336,2.4337994484185126,2.4338009029446779,2.4337988409678832,2.4337975222681063,0.16992444291630002,0.32608740314270002,0.45361920000000000,0.45813140000000002,0.28178126002100001,0.28390779999999999,0.28162579999999998
8,0.98407784117895170,1.1173679242660535,0.13329008308710183,0.20830631327253815,0.67608712983830277,0.24102780749490399,0.68122853142192241E-1,0.69883539816450235E-1,0.37527227166147217E-1,0.13274828483890349E-1,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.80248000000000003E-2,0.37174000000000000E-2,0.26769000000000001E-1,0.96236000000000002E-1,0.30020000000000002E-1,0.11126000000000000,0.28277999999999998,0.72120600000000002E-2,0.81930100000000004E-3,0.64532000000000001E-2,0.18564799999999999E-1,0.17808399999999999E-1,0.83034800000000006E-1,0.21600400000000000,2.7814383130478668,2.4744263707721581,2.4338312775057336,2.4337994484185126,2.4338009029446779,2.4337988409678832,2.4337975222681063,0.16992444291630002,0.32608740314270002,0.45361920000000000,0.45813140000000002,0.28178126002100001,0.28390779999999999,0.28162579999999998
9,1.1173679242660535,1.2506580073531552,0.13329008308710183,0.20614628949509214,0.67235535472027252,0.24380764104064467,0.68578421196621261E-1,0.69824900180894017E-1,0.38206080137913601E-1,0.15043903236640321E-1,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.80248000000000003E-2,0.37174000000000000E-2,0.26769000000000001E-1,0.96236000000000002E-1,0.30020000000000002E-1,0.11126000000000000,0.28277999999999998,0.72120600000000002E-2,0.81930100000000004E-3,0.64532000000000001E-2,0.18564799999999999E-1,0.17808399999999999E-1,0.83034800000000006E-1,0.21600400000000000,2.7814383130478668,2.4744263707721581,2.4338312775057336,2.4337994484185126,2.4338009029446779,2.4337988409678832,2.4337975222681063,0.16992444291630002,0.32608740314270002,0.45361920000000000,0.45813140000000002,0.28178126002100001,0.28390779999999999,0.28162579999999998
10,1.2506580073531552,1.4094717202248765,0.15881371287172136,0.19993125568559070,0.65705956445300506,0.24841156113328466,0.72464105245620747E-1,0.71231055062739954E-1,0.41542327055196837E-1,0.19036631609855106E-1,0.15920599999999999,0.41297000000000000,0.59031000000000000,0.58435000000000004,0.71799999999999997,1.2544500000000001,2.6503800000000002,0.60105000000000000E-3,0.15792999999999999E-4,0.33715999999999998E-3,0.19406000000000000E-2,0.57416000000000003E-2,0.15001000000000000E-1,0.37239000000000001E-1,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.15860497308400001,0.41295389610000000,0.58997274000000000,0.58240939999999997,0.71225843700000002,1.2394487000000001,2.6131400000000000
