cell,x_left_cm,x_right_cm,dx_cm,flux_g1,flux_g2,flux_g3,flux_g4,flux_g5,flux_g6,flux_g7,sigTR_g1,sigTR_g2,sigTR_g3,sigTR_g4,sigTR_g5,sigTR_g6,sigTR_g7,Rrem_g1,Rrem_g2,Rrem_g3,Rrem_g4,Rrem_g5,Rrem_g6,Rrem_g7
1,0.0000000000000000,0.10587580858114758,0.10587580858114758,0.19699657381679112E+20,0.53991089738219815E+20,0.23346332064612884E+20,0.75794980351365304E+19,0.52537962776268145E+19,0.47650738316377631E+19,0.47514161766726902E+19,0.15920599999999999,0.41297000000000000,0.59031000000000000,0.58435000000000004,0.71799999999999997,1.2544500000000001,2.6503800000000002,0.11472832308400001,0.13063568909999995,0.24505389999999996,0.49332160000000003,0.57886203700000005,0.55453670000000010,0.16967900000000000
2,0.10587580858114758,0.21175161716229515,0.10587580858114758,0.19711757886377206E+20,0.54058024368853508E+20,0.23320379639377682E+20,0.75492982364889457E+19,0.52413026259273288E+19,0.47135980327156470E+19,0.45571976878356659E+19,0.15920599999999999,0.41297000000000000,0.59031000000000000,0.58435000000000004,0.71799999999999997,1.2544500000000001,2.6503800000000002,0.11472832308400001,0.13063568909999995,0.24505389999999996,0.49332160000000003,0.57886203700000005,0.55453670000000010,0.16967900000000000
3,0.21175161716229515,0.31762742574344272,0.10587580858114758,0.19735966328502354E+20,0.54191996012761358E+20,0.23268175740412645E+20,0.74887195755015045E+19,0.52164569504649380E+19,0.46108807654653292E+19,0.41683901904421586E+19,0.15920599999999999,0.41297000000000000,0.59031000000000000,0.58435000000000004,0.71799999999999997,1.2544500000000001,2.6503800000000002,0.11472832308400001,0.13063568909999995,0.24505389999999996,0.49332160000000003,0.57886203700000005,0.55453670000000010,0.16967900000000000
4,0.31762742574344272,0.42129749036674413,0.10367006462330143,0.19774013175964901E+20,0.54371275263539053E+20,0.23197151158274683E+20,0.74006486224110807E+19,0.51901541901874268E+19,0.45104669837326126E+19,0.38154097969149640E+19,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.50412242916299997E-1,0.53488031427000003E-2,0.29448200000000001E-1,0.10180240000000000,0.40400260021000001E-1,0.12936580000000000,0.29132579999999997
5,0.42129749036674413,0.52496755499004555,0.10367006462330143,0.19806957746401137E+20,0.54506529231503966E+20,0.23143341845881201E+20,0.73281669572157153E+19,0.51760943804323502E+19,0.44694656494526377E+19,0.37124519133782886E+19,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.50412242916299997E-1,0.53488031427000003E-2,0.29448200000000001E-1,0.10180240000000000,0.40400260021000001E-1,0.12936580000000000,0.29132579999999997
6,0.52496755499004555,0.62863761961334697,0.10367006462330143,0.19833284880017183E+20,0.54619932923742503E+20,0.23098689528690803E+20,0.72679001823844997E+19,0.51636686030798367E+19,0.44347509408322002E+19,0.36278087069658537E+19,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.50412242916299997E-1,0.53488031427000003E-2,0.29448200000000001E-1,0.10180240000000000,0.40400260021000001E-1,0.12936580000000000,0.29132579999999997
7,0.62863761961334697,0.73230768423664838,0.10367006462330143,0.19853159974152462E+20,0.54711685739830731E+20,0.23063171216733802E+20,0.72197408004076892E+19,0.51528756356630917E+19,0.44062764751670666E+19,0.35610420585737620E+19,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.50412242916299997E-1,0.53488031427000003E-2,0.29448200000000001E-1,0.10180240000000000,0.40400260021000001E-1,0.12936580000000000,0.29132579999999997
8,0.73230768423664838,0.83597774885994980,0.10367006462330143,0.19866714128877359E+20,0.54781946657373839E+20,0.23036768583667761E+20,0.71836029037683282E+19,0.51437141601608499E+19,0.43840039962193690E+19,0.35118067132005120E+19,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.50412242916299997E-1,0.53488031427000003E-2,0.29448200000000001E-1,0.10180240000000000,0.40400260021000001E-1,0.12936580000000000,0.29132579999999997
9,0.83597774885994980,0.93964781348325122,0.10367006462330143,0.19874044734256366E+20,0.54830834895062409E+20,0.23019467955238334E+20,0.71594220195028849E+19,0.51361827677671393E+19,0.43679033489139512E+19,0.34798484612781542E+19,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.50412242916299997E-1,0.53488031427000003E-2,0.29448200000000001E-1,0.10180240000000000,0.40400260021000001E-1,0.12936580000000000,0.29132579999999997
10,0.93964781348325122,1.0433178781065526,0.10367006462330143,0.19875215904313582E+20,0.54858430402322358E+20,0.23011260300647817E+20,0.71471549925424046E+19,0.51302799623192760E+19,0.43579524574892580E+19,0.34650028002031099E+19,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.50412242916299997E-1,0.53488031427000003E-2,0.29448200000000001E-1,0.10180240000000000,0.40400260021000001E-1,0.12936580000000000,0.29132579999999997
11,1.0433178781065526,1.1469879427298542,0.10367006462330143,0.19870258759855481E+20,0.54864774178024751E+20,0.23012141226818277E+20,0.71467799076220191E+19,0.51260041623923743E+19,0.43541373072119265E+19,0.34671940689773583E+19,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.50412242916299997E-1,0.53488031427000003E-2,0.29448200000000001E-1,0.10180240000000000,0.40400260021000001E-1,0.12936580000000000,0.29132579999999997
12,1.1469879427298542,1.2506580073531557,0.10367006462330143,0.19859171561546211E+20,0.54849868419851190E+20,0.23022110975540699E+20,0.71582960496172083E+19,0.51233537020658627E+19,0.43564519297189929E+19,0.34864350513778872E+19,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.50412242916299997E-1,0.53488031427000003E-2,0.29448200000000001E-1,0.10180240000000000,0.40400260021000001E-1,0.12936580000000000,0.29132579999999997
13,1.2506580073531557,1.3565338159343032,0.10587580858114758,0.19842664046183383E+20,0.54808631244951298E+20,0.23043604672543879E+20,0.71826201632144620E+19,0.51216327957927301E+19,0.43743669376194447E+19,0.35918951764543350E+19,0.15920599999999999,0.41297000000000000,0.59031000000000000,0.58435000000000004,0.71799999999999997,1.2544500000000001,2.6503800000000002,0.11472832308400001,0.13063568909999995,0.24505389999999996,0.49332160000000003,0.57886203700000005,0.55453670000000010,0.16967900000000000
14,1.3565338159343032,1.4624096245154508,0.10587580858114758,0.19839089229592310E+20,0.54830541486051516E+20,0.23037993027772215E+20,0.71751191178468925E+19,0.51090021093373716E+19,0.43515643634157138E+19,0.35745405607484298E+19,0.15920599999999999,0.41297000000000000,0.59031000000000000,0.58435000000000004,0.71799999999999997,1.2544500000000001,2.6503800000000002,0.11472832308400001,0.13063568909999995,0.24505389999999996,0.49332160000000003,0.57886203700000005,0.55453670000000010,0.16967900000000000
15,1.4624096245154508,1.5682854330965983,0.10587580858114758,0.19847700563642225E+20,0.54920689782475178E+20,0.23002762038194373E+20,0.71348484440390359E+19,0.50860578760773018E+19,0.42784326016846121E+19,0.33662097136081567E+19,0.15920599999999999,0.41297000000000000,0.59031000000000000,0.58435000000000004,0.71799999999999997,1.2544500000000001,2.6503800000000002,0.11472832308400001,0.13063568909999995,0.24505389999999996,0.49332160000000003,0.57886203700000005,0.55453670000000010,0.16967900000000000
16,1.5682854330965983,1.6719554977198998,0.10367006462330143,0.19869485665612943E+20,0.55061944038518383E+20,0.22944136384678167E+20,0.70641761508379146E+19,0.50624304565287997E+19,0.41977007602352891E+19,0.31252401490191012E+19,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.50412242916299997E-1,0.53488031427000003E-2,0.29448200000000001E-1,0.10180240000000000,0.40400260021000001E-1,0.12936580000000000,0.29132579999999997
17,1.6719554977198998,1.7756255623432013,0.10367006462330143,0.19886753030213140E+20,0.55165496289956094E+20,0.22901193220050481E+20,0.70078522088225137E+19,0.50499380595422362E+19,0.41655552367719629E+19,0.30573714842382310E+19,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.50412242916299997E-1,0.53488031427000003E-2,0.29448200000000001E-1,0.10180240000000000,0.40400260021000001E-1,0.12936580000000000,0.29132579999999997
18,1.7756255623432013,1.8792956269665029,0.10367006462330143,0.19898656179555914E+20,0.55248796592501539E+20,0.22867281857614508E+20,0.69631721792898755E+19,0.50390503383272079E+19,0.41392831972229443E+19,0.30044375328849213E+19,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.50412242916299997E-1,0.53488031427000003E-2,0.29448200000000001E-1,0.10180240000000000,0.40400260021000001E-1,0.12936580000000000,0.29132579999999997
19,1.8792956269665029,1.9829656915898044,0.10367006462330143,0.19905301651625873E+20,0.55311978144789479E+20,0.22842384884043256E+20,0.69300564091221033E+19,0.50297657130075771E+19,0.41188485222432824E+19,0.29661657004087091E+19,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.50412242916299997E-1,0.53488031427000003E-2,0.29448200000000001E-1,0.10180240000000000,0.40400260021000001E-1,0.12936580000000000,0.29132579999999997
20,1.9829656915898044,2.0866357562131057,0.10367006462330143,0.19906767142021755E+20,0.55355139904847553E+20,0.22826489464151126E+20,0.69084458526879549E+19,0.50220825317227899E+19,0.41042229086732058E+19,0.29423593382308367E+19,0.17794900000000000,0.32980500000000001,0.48038799999999998,0.55436700000000005,0.31180099999999999,0.39516800000000002,0.56440599999999996,0.50412242916299997E-1,0.53488031427000003E-2,0.29448200000000001E-1,0.10180240000000000,0.40400260021000001E-1,0.12936580000000000,0.29132579999999997
